|  GET  |  /admin/dcs/(dc)/racks/(rack)/ms/(m)/vms/(vm)  |    |   virtualmachinewithnodeextended (*b)   |
|  GET  |  /admin/dcs/(dc)/racks/(rack)/ms/(m)/vms/(vm)/action/volumes  |    |   volumes (*b)  (*r)   |
|  GET  |  /admin/dcs/(dc)/racks/(rack)/ms/(m)/vms/(vm)/action/nics  |    |   nics (*b)  (*r)   |
|  GET  |  /admin/dcs/(dc)/racks/(rack)/ms/(m)/vms/(vm)/action/disk  |    |   harddisks (*b)  (*r)   |
|  POST  |  /admin/dcs/(dc)/racks/(rack)/ms/(m)/vms/(vm)/action/capture  |   links (*b)  (*r)   |    |
|  POST  |  /admin/dcs/(dc)/racks/(rack)/ms/(m)/vms/(vm)/action/capture  |   links (*b)   |    |
|  POST  |  /admin/dcs/(dc)/racks/(rack)/ms/(m)/vms/(vm)/action/sendmail  |   mail (*b)  (*r)   |    |
|  GET  |  /admin/dcs/(dc)/racks/(rack)/ms/(m)/vms/(vm)/config/rdpaccess  |    |   text/plaintext/plain  |
|  GET  |  /cloud/vdcs/(vdc)/vapps/(vapp)/layers/(layer)  |    |   layer (*b)  (*r)   |
|  DELETE  |  /cloud/vdcs/(vdc)/vapps/(vapp)/layers/(layer)  |    |    |
|  PUT  |  /cloud/vdcs/(vdc)/vapps/(vapp)/layers/(layer)  |   layer (*b)  (*r)   |   layer (*b)  (*r)   |
|  DELETE  |  /admin/dcs/(dc)/racks/(rack)/ms/(m)/vms  |    |    |
|  GET  |  /admin/dcs/(dc)/racks/(rack)/ms/(m)/vms  |    |   virtualmachines (*b)  (*r)   |
|  GET  |  /admin/dcs/(dc)/racks/(rack)/ms/(m)/vms  |    |   virtualmachines (*b)   |
|  GET  |  /admin/dcs/(dc)/racks/(rack)/ms/(m)/vms  |    |   virtualmachinesflat (*b)  (*r)   |
|  GET  |  /admin/dcs/(dc)/racks/(rack)/ms/(m)/vms  |    |   virtualmachineswithnode (*b)  (*r)   |
|  GET  |  /admin/dcs/(dc)/racks/(rack)/ms/(m)/vms  |    |   virtualmachineswithnode (*b)  (*r)   |
|  GET  |  /admin/dcs/(dc)/racks/(rack)/ms/(m)/vms  |    |   virtualmachineswithnode (*b)   |
|  GET  |  /admin/dcs/(dc)/racks/(rack)/ms/(m)/vms  |    |   virtualmachineswithnodeextended (*b)  (*r)   |
|  GET  |  /admin/dcs/(dc)/racks/(rack)/ms/(m)/vms  |    |   virtualmachineswithnodeextended (*b)  (*r)   |
|  GET  |  /admin/dcs/(dc)/racks/(rack)/ms/(m)/vms  |    |   virtualmachineswithnodeextended (*b)   |
|  GET  |  /admin/ents/(ent)/appslib/tmpDefinitionLists/(tmpDefinitionList)  |    |   templatedefinitionlist (*b)  (*r)   |
|  PUT  |  /admin/ents/(ent)/appslib/tmpDefinitionLists/(tmpDefinitionList)  |   templatedefinitionlist (*b)  (*r)   |   templatedefinitionlist (*b)  (*r)   |
|  PUT  |  /admin/ents/(ent)/appslib/tmpDefinitionLists/(tmpDefinitionList)  |    |   templatedefinitionlist (*b)  (*r)   |
|  DELETE  |  /admin/ents/(ent)/appslib/tmpDefinitionLists/(tmpDefinitionList)  |    |    |
|  GET  |  /admin/ents/(ent)/appslib/tmpDefinitionLists/(tmpDefinitionList)/actions/repoStatus  |    |   templatestates (*b)  (*r)   |
|  GET  |  /cloud/vdcs/(vdc)/vapps/(vapp)/layers  |    |   layers (*b)  (*r)   |
|  POST  |  /cloud/vdcs/(vdc)/vapps/(vapp)/layers  |    |    |
|  POST  |  /admin/ents/(ent)/appslib/tmpDefinitionLists  |   text/plaintext/plain  |   templatedefinitionlist (*b)  (*r)   |
|  GET  |  /admin/ents/(ent)/appslib/tmpDefinitionLists  |    |   templatedefinitionlists (*b)  (*r)   |
|  POST  |  /admin/ents/(ent)/appslib/tmpDefinitionLists  |   templatedefinitionlist (*b)  (*r)   |   templatedefinitionlist (*b)  (*r)   |
|  GET  |  /admin/dcs/(dc)/racks/(rack)/ms/(m)/datastores/(datastore)  |    |   datastore (*b)  (*r)   |
|  PUT  |  /admin/dcs/(dc)/racks/(rack)/ms/(m)/datastores/(datastore)  |   datastore (*b)  (*r)   |   datastore (*b)  (*r)   |
|  GET  |  /admin/ents/(ent)/appslib/tmpDefinitions/(tmpDefinition)  |    |   templatedefinition (*b)  (*r)   |
|  PUT  |  /admin/ents/(ent)/appslib/tmpDefinitions/(tmpDefinition)  |   templatedefinition (*r)   |   templatedefinition (*b)  (*r)   |
|  DELETE  |  /admin/ents/(ent)/appslib/tmpDefinitions/(tmpDefinition)  |    |    |
|  GET  |  /admin/ents/(ent)/appslib/tmpDefinitions/(tmpDefinition)/actions/repoStatus  |    |   templatestate (*b)  (*r)   |
|  POST  |  /admin/ents/(ent)/appslib/tmpDefinitions/(tmpDefinition)/actions/repoInstall  |    |    |
