|  POST  |  /cloud/virtualdatacenters/(virtualdatacenter)/virtualappliances/(virtualappliance)/virtualmachines/(virtualmachine)//tasks/(id)/action/ack  |    |    |
|  GET  |  /cloud/virtualdatacenters/(virtualdatacenter)/virtualappliances/(virtualappliance)/virtualmachines/(virtualmachine)//tasks  |    |   tasks (*b)  (*r)   |
|  POST  |  /cloud/virtualdatacenters/(virtualdatacenter)/virtualappliances/(virtualappliance)/virtualmachines/(virtualmachine)/action/reset  |    |   acceptedrequest (*b)  (*r)   |
|  POST  |  /cloud/virtualdatacenters/(virtualdatacenter)/virtualappliances/(virtualappliance)/virtualmachines/(virtualmachine)/action/deploy  |    |   acceptedrequest (*b)  (*r)   |
|  POST  |  /cloud/virtualdatacenters/(virtualdatacenter)/virtualappliances/(virtualappliance)/virtualmachines/(virtualmachine)/action/deploy  |   virtualmachinetask (*b)  (*r)   |   acceptedrequest (*b)  (*r)   |
|  POST  |  /cloud/virtualdatacenters/(virtualdatacenter)/virtualappliances/(virtualappliance)/virtualmachines/(virtualmachine)/action/deploy  |   virtualmachinetask (*b)   |   acceptedrequest (*b)   |
|  GET  |  /cloud/virtualdatacenters/(virtualdatacenter)/virtualappliances/(virtualappliance)/virtualmachines/(virtualmachine)/config/rdpaccess  |    |   text/plaintext/plain  |
|  GET  |  /cloud/virtualdatacenters/(virtualdatacenter)/virtualappliances/(virtualappliance)/virtualmachines/(virtualmachine)/config/bootstrap  |    |   bootstrap (*b)  extended (*b)  (*r)  (*r)   |
|  POST  |  /cloud/virtualdatacenters/(virtualdatacenter)/virtualappliances/(virtualappliance)/virtualmachines/(virtualmachine)//tasks/(id)/action/cancel  |    |    |
|  POST  |  /cloud/virtualdatacenters/(virtualdatacenter)/virtualappliances/(virtualappliance)/virtualmachines/(virtualmachine)//tasks/(id)/action/cancel  |   text/xmltext/xml text/plaintext/plain  |    |
|  GET  |  /cloud/virtualdatacenters/(virtualdatacenter)/virtualappliances/(virtualappliance)/virtualmachines/(virtualmachine)//tasks/(id)  |    |   task (*b)  (*r)   |
|  GET  |  /cloud/virtualdatacenters/(virtualdatacenter)/virtualappliances/(virtualappliance)/virtualmachines  |    |   virtualmachines (*b)  (*r)   |
|  POST  |  /cloud/virtualdatacenters/(virtualdatacenter)/virtualappliances/(virtualappliance)/virtualmachines  |   virtualmachine (*b)  (*r)   |   virtualmachine (*b)  (*r)   |
|  GET  |  /cloud/virtualdatacenters/(virtualdatacenter)/virtualappliances/(virtualappliance)/virtualmachines  |    |   virtualmachineswithnode (*b)  (*r)   |
|  GET  |  /cloud/virtualdatacenters/(virtualdatacenter)/virtualappliances/(virtualappliance)/virtualmachines  |    |   virtualmachineswithnodeextended (*b)  (*r)   |
|  POST  |  /cloud/virtualdatacenters/(virtualdatacenter)/virtualappliances/(virtualappliance)/virtualmachines  |   virtualmachine (*b)   |   virtualmachine (*b)   |
|  POST  |  /cloud/virtualdatacenters/(virtualdatacenter)/virtualappliances/(virtualappliance)/virtualmachines  |   virtualmachineflat (*b)  (*r)   |   virtualmachineflat (*b)  (*r)   |
|  POST  |  /cloud/virtualdatacenters/(virtualdatacenter)/virtualappliances/(virtualappliance)/virtualmachines  |   virtualmachinewithnode (*b)  (*r)   |   virtualmachine (*b)  (*r)   |
|  POST  |  /cloud/virtualdatacenters/(virtualdatacenter)/virtualappliances/(virtualappliance)/virtualmachines  |   virtualmachinewithnode (*b)   |   virtualmachine (*b)  (*r)   |
|  POST  |  /cloud/virtualdatacenters/(virtualdatacenter)/virtualappliances/(virtualappliance)/virtualmachines  |   virtualmachinewithnode (*b)  (*r)   |   virtualmachinewithnode (*b)  (*r)   |
|  POST  |  /cloud/virtualdatacenters/(virtualdatacenter)/virtualappliances/(virtualappliance)/virtualmachines  |   virtualmachinewithnode (*b)  (*r)   |   virtualmachinewithnode (*b)  (*r)   |
|  POST  |  /cloud/virtualdatacenters/(virtualdatacenter)/virtualappliances/(virtualappliance)/virtualmachines  |   virtualmachinewithnode (*b)   |   virtualmachinewithnode (*b)   |
|  POST  |  /cloud/virtualdatacenters/(virtualdatacenter)/virtualappliances/(virtualappliance)/virtualmachines  |   virtualmachinewithnodeextended (*b)  (*r)   |   virtualmachinewithnodeextended (*b)  (*r)   |
|  GET  |  /cloud/virtualdatacenters/(virtualdatacenter)/virtualappliances/(virtualappliance)/virtualmachines  |    |   virtualmachines (*b)   |
|  GET  |  /cloud/virtualdatacenters/(virtualdatacenter)/virtualappliances/(virtualappliance)/virtualmachines  |    |   virtualmachinesflat (*b)  (*r)   |
|  GET  |  /cloud/virtualdatacenters/(virtualdatacenter)/virtualappliances/(virtualappliance)/virtualmachines  |    |   virtualmachineswithnode (*b)  (*r)   |
|  GET  |  /cloud/virtualdatacenters/(virtualdatacenter)/virtualappliances/(virtualappliance)/virtualmachines  |    |   virtualmachineswithnode (*b)   |
|  GET  |  /cloud/virtualdatacenters/(virtualdatacenter)/virtualappliances/(virtualappliance)/virtualmachines  |    |   virtualmachineswithnodeextended (*b)  (*r)   |
|  GET  |  /cloud/virtualdatacenters/(virtualdatacenter)/virtualappliances/(virtualappliance)/virtualmachines  |    |   virtualmachineswithnodeextended (*b)   |
|  GET  |  /admin/enterprises/(enterprise)/limits/(limit)/externalnetworks/action/default  |    |   vlan (*b)  (*r)   |
|  PUT  |  /admin/enterprises/(enterprise)/limits/(limit)/externalnetworks/action/default  |    |    |
|  GET  |  /admin/datacenters/(datacenter)/racks/(rack)/machines/(machine)/virtualmachines/(virtualmachine)  |    |   virtualmachine (*b)  (*r)   |
|  GET  |  /admin/datacenters/(datacenter)/racks/(rack)/machines/(machine)/virtualmachines/(virtualmachine)  |    |   virtualmachine (*b)   |
|  GET  |  /admin/datacenters/(datacenter)/racks/(rack)/machines/(machine)/virtualmachines/(virtualmachine)  |    |   virtualmachineflat (*b)  (*r)   |
|  GET  |  /admin/datacenters/(datacenter)/racks/(rack)/machines/(machine)/virtualmachines/(virtualmachine)  |    |   virtualmachinewithnode (*b)  (*r)   |
|  GET  |  /admin/datacenters/(datacenter)/racks/(rack)/machines/(machine)/virtualmachines/(virtualmachine)  |    |   virtualmachinewithnode (*b)  (*r)   |
|  GET  |  /admin/datacenters/(datacenter)/racks/(rack)/machines/(machine)/virtualmachines/(virtualmachine)  |    |   virtualmachinewithnode (*b)   |
|  GET  |  /admin/datacenters/(datacenter)/racks/(rack)/machines/(machine)/virtualmachines/(virtualmachine)  |    |   virtualmachinewithnodeextended (*b)  (*r)   |
|  GET  |  /admin/datacenters/(datacenter)/racks/(rack)/machines/(machine)/virtualmachines/(virtualmachine)  |    |   virtualmachinewithnodeextended (*b)  (*r)   |
|  GET  |  /admin/datacenters/(datacenter)/racks/(rack)/machines/(machine)/virtualmachines/(virtualmachine)  |    |   virtualmachinewithnodeextended (*b)   |
