Name	ServerURL	CloudURL	ServerID	CloudID
Request a VM backup restore via API	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311374247/Request+a+VM+backup+restore+via+API	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311374247/Request+a+VM+backup+restore+via+API	311374247	311374247
Require a datastore tier for VM template disks	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311379051/Require+a+datastore+tier+for+VM+template+disks	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311379051/Require+a+datastore+tier+for+VM+template+disks	311379051	311379051
Reset guest password in vCloud Director	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311369748/Reset+guest+password+in+vCloud+Director	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311369748/Reset+guest+password+in+vCloud+Director	311369748	311369748
Resize disks in Action plans	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311366727/Resize+disks+in+Action+plans	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311366727/Resize+disks+in+Action+plans	311366727	311366727
Resource allocation limits by enterprise report	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311374808/Resource+allocation+limits+by+enterprise+report	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311374808/Resource+allocation+limits+by+enterprise+report	311374808	311374808
Resource consumption and cost report	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311374765/Resource+consumption+and+cost+report	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311374765/Resource+consumption+and+cost+report	311374765	311374765
Resource usage by enterprise report	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311374799/Resource+usage+by+enterprise+report	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311374799/Resource+usage+by+enterprise+report	311374799	311374799
Restore SAML security beans after upgrade	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311368256/Restore+SAML+security+beans+after+upgrade	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311368256/Restore+SAML+security+beans+after+upgrade	311368256	311368256
Restrict VMs for provider services	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311376658/Restrict+VMs+for+provider+services	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311376658/Restrict+VMs+for+provider+services	311376658	311376658
Resynchronization of captured VMs after physical machine changes	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311361593/Resynchronization+of+captured+VMs+after+physical+machine+changes	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311361593/Resynchronization+of+captured+VMs+after+physical+machine+changes	311361593	311361593
